Ruta;N° Viajes;Kilometros Totales (km);distancia;Velocidad (km/h);Tiempo en Bloques
1;25424;710280;28;70;1
2;1053;385182,9;366;70;11
3;400;257482,6;644;70;19
4;2402;241467,2;101;70;3
5;543;212357,84;392;70;12
6;532;162579,78;306;70;9
7;410;145873;356;70;11
8;836;142873,14;171;70;5
9;300;107974,36;360;70;11
10;278;100709,28;363;70;11
11;175;95515,78;546;70;16
12;445;90825,2226;205;70;6
13;2166;88769,34;41;70;2
14;136;76000;559;70;16
15;250;75895,04902;304;70;9
16;275;66894,8;244;70;7
17;1566;53482;35;70;1
18;661;52228,8;80;70;3
19;807;47225;59;70;2
20;213;41824,99777;197;70;6
